"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0170038","proteinogenic amino acid biosynthetic process","13/849","41/11749",0.317073170731707,4.38785946163349,6.06454918691642,3.51590349588465e-06,0.000566380090427964,0.00051073124466535,"PAH/CYLY/CBS/ASNS/PYCRL/LGSN/NOXRED1/GOT1/ALDH18A1/PHGDH/GSL/PSAT1/DHFR",13,"BP"
"GO:0007409","axonogenesis","26/849","137/11749",0.18978102189781,2.62631004272953,5.34358446911037,4.54302901411037e-06,0.000670853951083631,0.000604940179247328,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NPTX1/ROBO3/PLXNA2/RNF165/EMB/MAP1B",26,"BP"
"GO:0170033","L-amino acid metabolic process","20/849","93/11749",0.21505376344086,2.9760502552022,5.33933604789883,8.20199839397453e-06,0.00111799547339407,0.00100814846656302,"PAH/THL/CYLY/CBS/P4HA3/ASNS/CRTAP/PYCRL/GNMT/LGSN/NOXRED1/C14orf159/GOT1/ALDH18A1/PHGDH/HDC/GSL/AGXT2/PSAT1/DHFR",20,"BP"
"GO:1901607","alpha-amino acid biosynthetic process","13/849","45/11749",0.288888888888889,3.99782750948829,5.62300288045326,1.11100060942554e-05,0.00140620934278718,0.00126804430459246,"PAH/CYLY/CBS/ASNS/PYCRL/LGSN/NOXRED1/GOT1/ALDH18A1/PHGDH/GSL/PSAT1/DHFR",13,"BP"
"GO:0009653","anatomical structure morphogenesis","60/849","477/11749",0.125786163522013,1.74070863983525,4.60923313147137,1.5492908619943e-05,0.00183022893830259,0.0016504024761455,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/FGF14/FAT3/NRP1/FAM171A1/EOMES/TMEM108/TBX20/NRN1/ZPBP1/FHOD3/CDH7/ISM1/VASH2/GREM2/ANGPT2/SOX11/TNMD/INTU/SLIT2/LRRC4C/GREM1/CXCL12/COL6A1/CCDC141/ERMN/FOXD3/LOC107054133/FGF7/MAP1A/SEMA3DL/CHL1/FOXI1/SLIT3/DBN1/CYFIP2/SOX8/NPTX1/NF2L/MFAP2/ROBO3/JAM3/PLEKHO1/PTPRVP/PLXNA2/TCAP/AMH/RNF165/EMB/MAP1B/PGM5/ANXA1/TMOD1",60,"BP"
"GO:0048666","neuron development","37/849","248/11749",0.149193548387097,2.06463486454653,4.72913038630747,1.86890647414191e-05,0.00206981392011217,0.00186644738667594,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/DCLK1/NRP1/TMEM108/NRN1/STMN2/CSMD3/MCF2/TENM1/SCLT1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NEFH/NPTX1/STMN3/ROBO3/PLXNA2/RNF165/EMB/MAP1B/NREP",37,"BP"
"GO:0000902","cell morphogenesis","35/849","230/11749",0.152173913043478,2.10587903927895,4.72701217096319,2.03666659110764e-05,0.00212292541143691,0.00191434048625474,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/FAT3/NRP1/FAM171A1/TMEM108/NRN1/CDH7/SLIT2/LRRC4C/CXCL12/COL6A1/CCDC141/ERMN/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NPTX1/NF2L/ROBO3/PLXNA2/RNF165/EMB/MAP1B/ANXA1",35,"BP"
"GO:0042026","protein refolding","8/849","19/11749",0.421052631578947,5.82679313123799,5.8763688176783,2.65071056071199e-05,0.00260947728532313,0.00235308691880748,"HSPA2/DNAJB2/DNAJA4/HSPA8/HSPB2/LOC425431/LOC772158/DNAJA1",8,"BP"
"GO:0031175","neuron projection development","34/849","226/11749",0.150442477876106,2.08191834224543,4.58340767190514,3.39226873070928e-05,0.00315968983614537,0.00284923914177775,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/TMEM108/NRN1/STMN2/CSMD3/MCF2/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NEFH/NPTX1/STMN3/ROBO3/PLXNA2/RNF165/EMB/MAP1B/NREP",34,"BP"
"GO:0048812","neuron projection morphogenesis","28/849","171/11749",0.16374269005848,2.26597510659255,4.65402823472931,3.5662413500512e-05,0.00315968983614537,0.00284923914177775,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/TMEM108/NRN1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NPTX1/ROBO3/PLXNA2/RNF165/EMB/MAP1B",28,"BP"
"GO:0048858","cell projection morphogenesis","28/849","173/11749",0.161849710982659,2.2397788625857,4.58469643573134,4.42237915913866e-05,0.00356202539545168,0.00321204381032176,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/TMEM108/NRN1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NPTX1/ROBO3/PLXNA2/RNF165/EMB/MAP1B",28,"BP"
"GO:0120039","plasma membrane bounded cell projection morphogenesis","28/849","173/11749",0.161849710982659,2.2397788625857,4.58469643573134,4.42237915913866e-05,0.00356202539545168,0.00321204381032176,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/TMEM108/NRN1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NPTX1/ROBO3/PLXNA2/RNF165/EMB/MAP1B",28,"BP"
"GO:0007155","cell adhesion","52/849","413/11749",0.12590799031477,1.74239455619344,4.28649627766627,5.58086936500374e-05,0.00429969587599419,0.00387723555884471,"LAMB1/LAMB4/TNFRSF13C/ROBO1/ITGBL1/CLDN10/POSTN/FAT3/EPDR1/ITGA9/CDH7/PAG1/DLK2/VIT/CLDN20/CCN2/PCDH19/TENM1/ADGRL3/FAT4/FAT1/CD5/SPON1/LRRC4C/VWA2/ITGA6/CRB1/HMCN1/SNED1/MUC4L/CADNL/CHL1/PCDHAC2/LOC107056903/LOC776042/PCDH1/PCDH12/TGFBI/ITGAD/PLA2G2E/ROBO3/KIRREL3/IGSF9B/JAM3/NCAM1/PKP1/NFASC/PLXNA2/EMB/THBS4/ANXA1/VCAN",52,"BP"
"GO:0006520","amino acid metabolic process","28/849","177/11749",0.15819209039548,2.18916239111484,4.44883348993518,6.71204751975201e-05,0.004866876833002,0.00438868898211776,"PAH/THL/CYLY/CBS/P4HA3/ASNS/CRTAP/PYCRL/GNMT/LGSN/TDO2/CARNS1/NOXRED1/C14orf159/ASPG/GOT1/ALDH18A1/KMO/GAD1/PHGDH/DDAH1/PARS2/HDC/DAO/GSL/AGXT2/PSAT1/DHFR",28,"BP"
"GO:0048667","cell morphogenesis involved in neuron differentiation","26/849","159/11749",0.163522012578616,2.26292123178582,4.47461499597988,6.86636122037528e-05,0.004866876833002,0.00438868898211776,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NPTX1/ROBO3/PLXNA2/RNF165/EMB/MAP1B",26,"BP"
"GO:0007411","axon guidance","18/849","91/11749",0.197802197802198,2.73731215780686,4.64311130389599,7.4481966163602e-05,0.00488822385340381,0.00440793858231376,"SEMA3A/LAMB4/PTPRO/EPHB6/EPHA3/ROBO1/NRP1/SLIT2/CXCL12/CCDC141/SEMA3DL/CHL1/SLIT3/CYFIP2/ROBO3/PLXNA2/RNF165/EMB",18,"BP"
"GO:0097485","neuron projection guidance","18/849","91/11749",0.197802197802198,2.73731215780686,4.64311130389599,7.4481966163602e-05,0.00488822385340381,0.00440793858231376,"SEMA3A/LAMB4/PTPRO/EPHB6/EPHA3/ROBO1/NRP1/SLIT2/CXCL12/CCDC141/SEMA3DL/CHL1/SLIT3/CYFIP2/ROBO3/PLXNA2/RNF165/EMB",18,"BP"
"GO:0030182","neuron differentiation","43/849","325/11749",0.132307692307692,1.83095768777748,4.23968956780507,7.87293093459201e-05,0.00498244057717752,0.00449289817996642,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/DCLK1/WNT11/GDPD5/EN2/NRP1/TMEM108/NRN1/STMN2/CSMD3/ALK/SOX11/MCF2/TENM1/SCLT1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NEFH/NPTX1/STMN3/RUNX3/ROBO3/PLXNA2/RNF165/EMB/MAP1B/NREP",43,"BP"
"GO:0048699","generation of neurons","44/849","338/11749",0.130177514792899,1.80147894146263,4.17264251204657,9.56673968255294e-05,0.00584560783361511,0.00527125620258271,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/DCLK1/WNT11/GDPD5/EN2/NRP1/TMEM108/NRN1/STMN2/CSMD3/ALK/SOX11/MCF2/TENM1/SCLT1/SLIT2/LRRC4C/CXCL12/CCDC141/DAB1/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NEFH/NPTX1/STMN3/RUNX3/ROBO3/PLXNA2/RNF165/EMB/MAP1B/NREP",44,"BP"
"GO:0170039","proteinogenic amino acid metabolic process","17/849","85/11749",0.2,2.76772673733804,4.56481733162338,0.000101472050221107,0.00599361576639338,0.00540472183282948,"PAH/THL/CYLY/CBS/ASNS/PYCRL/LGSN/NOXRED1/C14orf159/GOT1/ALDH18A1/PHGDH/HDC/GSL/AGXT2/PSAT1/DHFR",17,"BP"
"GO:0044283","small molecule biosynthetic process","29/849","191/11749",0.151832460732984,2.10115380583255,4.28199235704146,0.000106508788081248,0.00608817975741844,0.00548999457749863,"PAH/CYLY/CBS/PDXK/INSIG1/HACD1/ASNS/TPK1/ABHD3/PYCRL/GNMT/COQ3/LGSN/CARNS1/NOXRED1/GCH1/ELOVL3/SCD/GOT1/ALDH18A1/KMO/GAD1/PHGDH/GATM/GSL/GAMT/ANXA1/PSAT1/DHFR",29,"BP"
"GO:0090287","regulation of cellular response to growth factor stimulus","12/849","49/11749",0.244897959183673,3.38905314776087,4.67685047910385,0.000142617245997373,0.00789742999710451,0.00712147958631618,"ELAPOR2/SPRY2/BAMBI/GREM2/GREM1/FSTL4/SPRY4/NOG2/WFIKKN2/RNF165/FST/NREP",12,"BP"
"GO:0030217","T cell differentiation","6/849","13/11749",0.461538461538462,6.38706170154933,5.42358112503288,0.000154364871718772,0.00820672984031496,0.00740038962670673,"EOMES/ITK/TNFSF8/CD3E/CD3D/ANXA1",6,"BP"
"GO:0042398","cellular modified amino acid biosynthetic process","7/849","18/11749",0.388888888888889,5.38169087815731,5.19198029708897,0.000157465470976698,0.00820672984031496,0.00740038962670673,"BBOX1/GCH1/GATM/MTHFS/CHDH/GAMT/DHFR",7,"BP"
"GO:0002376","immune system process","53/849","444/11749",0.119369369369369,1.65190897611392,3.90810053809925,0.00019131220739484,0.00968586375724735,0.00873419340828173,"TNFRSF13C/LAG3/TRAT1/CD200L/TNFSF13B/C4A/EOMES/MTURN/CCR8L/CCR8/LY86/IL7/PAG1/CST7/IRAK1BP1/TLR2A/CXCL13/CXCL13L3/CD5/PGR2/3/APLNR/PAMR1/CXCL12/FAS/ITGA6/MASP1/PTX3/ITK/IRF1/IL21R/VPREB3/PATZ1/MHCY36/MHCY14/MHCY11/MHCY7/MHCY35/BF1/PRF1/TNFSF8/CCL5/CCL1/LIME1/IRF9/PLA2G2E/ZBTB32/CD3E/CD3D/TBX21/ZAP70/CCL19/ANXA1/CR1",53,"BP"
"GO:0003008","system process","39/849","301/11749",0.129568106312292,1.79304556073395,3.8899063064768,0.00025918003400219,0.0125061529564974,0.0112773792253552,"CACNA1I/PTPRO/GABRR3/AQP1/OPN5L1/PENK/CRH/CST7/DLGAP2/FKBP1B/GLRB/GABRA4/CHRNA9/LOC428816/ACTC1/LOC428967/KCNE4/CHRND/CHRNG/CLRN1/INSYN1/RGS9BP/OXTR/ADRB2/GRIN2A/CACNG4/GRIN2C/UNC119/LOC107054855/EDN3/ACTG2/ADRA1A/DLGAP3/HTR3A/SCN4B/KCNH6/TCAP/MYO1A/TMOD1",39,"BP"
"GO:0046942","carboxylic acid transport","18/849","100/11749",0.18,2.49095406360424,4.17871262725632,0.000261132990626638,0.0125061529564974,0.0112773792253552,"SLC16A7/FABP4/SLC1A4/SLC10A4/FABP1/SLC1A2/SLC25A29/SFXN2/SLCO2A1/RBP2/SLC16A6/PROCA1/RBP7/PLA2G2E/FABP3/SLC1A6/SLC1A1/ANXA1",18,"BP"
"GO:0015849","organic acid transport","18/849","101/11749",0.178217821782178,2.46629115208341,4.13026374295016,0.00029677336244637,0.0138390104803939,0.012479278786526,"SLC16A7/FABP4/SLC1A4/SLC10A4/FABP1/SLC1A2/SLC25A29/SFXN2/SLCO2A1/RBP2/SLC16A6/PROCA1/RBP7/PLA2G2E/FABP3/SLC1A6/SLC1A1/ANXA1",18,"BP"
"GO:0022008","neurogenesis","46/849","377/11749",0.122015915119363,1.68853355328316,3.79227587819063,0.000306414081948151,0.0139221988003109,0.0125542935599809,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/DCLK1/WNT11/GDPD5/EN2/NRP1/TMEM108/NRN1/STMN2/CSMD3/ALK/SOX11/MCF2/TENM1/SCLT1/SLIT2/LRRC4C/CXCL12/CCDC141/DAB1/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NEFH/NPTX1/NF2L/STMN3/RUNX3/ROBO3/PLXNA2/RNF165/EMB/MAP1B/ANXA1/NREP",46,"BP"
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","10/849","39/11749",0.256410256410256,3.54836761197185,4.44875509004261,0.000340117680114778,0.0150672132290847,0.0135868062740588,"ELAPOR2/BAMBI/GREM2/GREM1/FSTL4/NOG2/WFIKKN2/RNF165/FST/NREP",10,"BP"
"GO:0099601","regulation of neurotransmitter receptor activity","6/849","15/11749",0.4,5.53545347467609,4.90530333939148,0.000397054362531893,0.0171604958635735,0.0154744164909734,"SHISA8/ARC/DLGAP2/KLHL24/CACNG4/DLGAP3",6,"BP"
"GO:0007267","cell-cell signaling","37/849","287/11749",0.128919860627178,1.78407472615867,3.75310544645039,0.000407678605024191,0.0172001544786397,0.0155101785069354,"SHISA8/DGKI/SYT10/GABRR3/GRIK1/CACNB2/PENK/CRH/ARC/DLGAP2/DRP2/GLRB/SNCA/GABRA4/CHRNA9/RIC3/FJX1/LRRC4C/CHRM4/SYT15/LOC428967/CHRND/CHRNG/INSYN1/JPH3/SYN2/GRIN2A/RIMBP2/CACNG4/GRIN2C/LOC107054855/ADRA1A/DLGAP3/GRIK4/HTR3A/SYT6/ANXA1",37,"BP"
"GO:0019752","carboxylic acid metabolic process","41/849","332/11749",0.123493975903614,1.70898789504307,3.65724813141119,0.000500929485681128,0.0206429546192316,0.0186147113650906,"PAH/THL/CYLY/CBS/P4HA3/HACD1/ASNS/CRTAP/ABHD3/PYCRL/GNMT/LGSN/LPIN1/TDO2/CARNS1/NOXRED1/C14orf159/TYSND1/ELOVL3/SCD/GOT1/AS3MT/ALDH18A1/KMO/GAD1/PHGDH/NPL/DDAH1/VDHAP/FAAH/HDC/GATM/DAO/GSL/GAMT/AGXT2/ANXA1/PSAT1/DHFR/ALDOB/LOC121108947",41,"BP"
"GO:0009408","response to heat","6/849","16/11749",0.375,5.18948763250883,4.67992543757448,0.00059667549706776,0.0236961812932424,0.021367947726709,"HSP90AA1/DNAJA4/HSPB2/LOC425431/LOC772158/DNAJA1",6,"BP"
"GO:0043436","oxoacid metabolic process","41/849","335/11749",0.122388059701493,1.69368352583373,3.594904975581,0.000601765326295658,0.0236961812932424,0.021367947726709,"PAH/THL/CYLY/CBS/P4HA3/HACD1/ASNS/CRTAP/ABHD3/PYCRL/GNMT/LGSN/LPIN1/TDO2/CARNS1/NOXRED1/C14orf159/TYSND1/ELOVL3/SCD/GOT1/AS3MT/ALDH18A1/KMO/GAD1/PHGDH/NPL/DDAH1/VDHAP/FAAH/HDC/GATM/DAO/GSL/GAMT/AGXT2/ANXA1/PSAT1/DHFR/ALDOB/LOC121108947",41,"BP"
"GO:0015669","gas transport","5/849","11/11749",0.454545454545455,6.29028803940465,4.89892932053387,0.00062263721076239,0.0239850682058903,0.0216284504791146,"MB/HBBA/AQP1/HBAD/HBA1",5,"BP"
"GO:0006935","chemotaxis","16/849","91/11749",0.175824175824176,2.43316636249498,3.83025635788116,0.000737130559046844,0.027212403138146,0.0245386883472173,"SEMA3A/CCR8L/CCR8/AvBD7/AvBD1/CXCL13/CXCL13L3/SLIT2/CXCL12/FGF7/SEMA3DL/SLIT3/CCL5/CCL1/CCL19/ANXA1",16,"BP"
"GO:0042330","taxis","16/849","91/11749",0.175824175824176,2.43316636249498,3.83025635788116,0.000737130559046844,0.027212403138146,0.0245386883472173,"SEMA3A/CCR8L/CCR8/AvBD7/AvBD1/CXCL13/CXCL13L3/SLIT2/CXCL12/FGF7/SEMA3DL/SLIT3/CCL5/CCL1/CCL19/ANXA1",16,"BP"
"GO:0044057","regulation of system process","13/849","66/11749",0.196969696969697,2.72579148374201,3.92378918705659,0.00075621839787987,0.0273473265519006,0.0246603550586819,"PTPRO/CRH/CST7/DLGAP2/FKBP1B/KCNE4/OXTR/ADRB2/LOC107054855/EDN3/ADRA1A/DLGAP3/KCNH6",13,"BP"
"GO:0006082","organic acid metabolic process","42/849","351/11749",0.11965811965812,1.65590488558686,3.48179071497628,0.000822686069415099,0.0291559943000711,0.0262913148078341,"PAH/THL/CYLY/CBS/P4HA3/HACD1/ASNS/CRTAP/ABHD3/PYCRL/GNMT/LGSN/LPIN1/TDO2/CARNS1/CYP2R1/NOXRED1/C14orf159/TYSND1/ELOVL3/SCD/GOT1/AS3MT/ALDH18A1/KMO/GAD1/PHGDH/NPL/DDAH1/VDHAP/FAAH/HDC/GATM/DAO/GSL/GAMT/AGXT2/ANXA1/PSAT1/DHFR/ALDOB/LOC121108947",42,"BP"
"GO:0042391","regulation of membrane potential","18/849","110/11749",0.163636363636364,2.26450369418567,3.71861465075852,0.000858319650647551,0.0298224004107345,0.0268922441627034,"CACNA1I/GABRR3/KCNK2/GLRB/GABRA4/CHRNA9/KCNK10/LOC428967/KCNH7/KCNE4/CHRND/CHRNG/INSYN1/GRIN2A/GRIN2C/HTR3A/SCN4B/KCNH6",18,"BP"
"GO:0009070","serine family amino acid biosynthetic process","5/849","12/11749",0.416666666666667,5.76609736945426,4.6099641321504,0.00100414742465328,0.03302245126188,0.029777878707101,"CYLY/CBS/PHGDH/PSAT1/DHFR",5,"BP"
"GO:0009084","glutamine family amino acid biosynthetic process","5/849","12/11749",0.416666666666667,5.76609736945426,4.6099641321504,0.00100414742465328,0.03302245126188,0.029777878707101,"PYCRL/LGSN/NOXRED1/ALDH18A1/GSL",5,"BP"
"GO:0032879","regulation of localization","33/849","259/11749",0.127413127413127,1.76322359714586,3.4662846351266,0.00100632752152456,0.03302245126188,0.029777878707101,"SHISA8/CACNA1I/SYT10/WNK1/STXBP5L/GPC6/CACNB2/ABHD4/LZTFL1/CRH/ARC/NKAIN2/FKBP1B/SNCA/SYT15/KCNIP2/KLHL24/KCNE4/PARD6A/SAR1B/KCNJ12/CACNG1/CACNG4/NF2L/UNC119/LOC107054855/REM1/FXYD6/SCN4B/SYT6/PLIN4/DAB2/ANXA1",33,"BP"
"GO:0030030","cell projection organization","49/849","434/11749",0.112903225806452,1.56242638398115,3.33200647250804,0.00115787325728359,0.0366571174745835,0.0330554261176297,"SEMA3A/LAMB4/IQUB/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/DCLK1/NRP1/TMEM108/NRN1/STMN2/TMEM67/CSMD3/TMEM17/ARMC2/MCF2/SCLT1/INTU/SLIT2/LRRC4C/CXCL12/CCDC141/ERMN/LOC107054133/DNAAF4/MAP1A/MTSS1L/SEMA3DL/CHL1/SLIT3/ARL2/DBN1/CYFIP2/IFT81/LOC100858984/DYNLL1/NEFH/NPTX1/TEKT1/STMN3/ROBO3/PLXNA2/RNF165/EMB/MAP1B/NREP",49,"BP"
"GO:0009266","response to temperature stimulus","6/849","18/11749",0.333333333333333,4.61287789556341,4.28099365545431,0.00122052479176096,0.0366571174745835,0.0330554261176297,"HSP90AA1/DNAJA4/HSPB2/LOC425431/LOC772158/DNAJA1",6,"BP"
"GO:0050432","catecholamine secretion","6/849","18/11749",0.333333333333333,4.61287789556341,4.28099365545431,0.00122052479176096,0.0366571174745835,0.0330554261176297,"SYT10/CRH/SNCA/SYT15/LOC107054855/SYT6",6,"BP"
"GO:0050433","regulation of catecholamine secretion","6/849","18/11749",0.333333333333333,4.61287789556341,4.28099365545431,0.00122052479176096,0.0366571174745835,0.0330554261176297,"SYT10/CRH/SNCA/SYT15/LOC107054855/SYT6",6,"BP"
"GO:0051952","regulation of amine transport","6/849","18/11749",0.333333333333333,4.61287789556341,4.28099365545431,0.00122052479176096,0.0366571174745835,0.0330554261176297,"SYT10/CRH/SNCA/SYT15/LOC107054855/SYT6",6,"BP"
"GO:0015908","fatty acid transport","9/849","38/11749",0.236842105263158,3.27757113632137,3.92454509086883,0.00124531533316971,0.0367783128396122,0.0331647136096776,"FABP4/FABP1/SLCO2A1/RBP2/PROCA1/RBP7/PLA2G2E/FABP3/ANXA1",9,"BP"
"GO:0098609","cell-cell adhesion","34/849","274/11749",0.124087591240876,1.71720272024623,3.3524586316582,0.00134872354332302,0.0391793134224325,0.0353298073988669,"TNFRSF13C/ROBO1/FAT3/ITGA9/CDH7/PAG1/DLK2/PCDH19/TENM1/ADGRL3/FAT4/FAT1/CD5/LRRC4C/ITGA6/CRB1/HMCN1/SNED1/CADNL/CHL1/PCDHAC2/LOC107056903/LOC776042/PCDH1/PCDH12/ITGAD/PLA2G2E/ROBO3/KIRREL3/IGSF9B/PKP1/NFASC/EMB/ANXA1",34,"BP"
